FID	IID	FT16
10000	10000	54.5
100000	100000	48.25
10001	10001	49.5
10002	10002	42.5
10003	10003	57.66666667
10004	10004	79
10005	10005	67.25
10006	10006	131.5
10007	10007	61.25
10008	10008	73
10009	10009	77.75
10010	10010	75.25
10011	10011	65.25
10012	10012	105.6666667
10013	10013	100
10014	10014	132
10015	10015	51.25
10016	10016	72
10017	10017	76.5
10018	10018	81.33333333
10019	10019	42
1002	1002	86.25
10020	10020	48
10021	10021	44
10022	10022	45.25
10023	10023	90
10024	10024	43.25
10025	10025	45.5
10026	10026	49.5
1061	1061	94.75
1062	1062	68.25
1063	1063	64.25
1074	1074	90.75
108	108	52.25
1137	1137	107.6666667
1158	1158	88
1254	1254	106
1257	1257	93.25
1317	1317	102
1318	1318	123
1363	1363	96
1367	1367	88.75
139	139	52.75
1435	1435	45.66666667
1552	1552	115.3333333
1585	1585	103.25
159	159	56.75
1829	1829	99
1853	1853	69.33333333
1872	1872	82.5
1890	1890	75.75
1925	1925	89.5
1954	1954	101
2016	2016	69.75
2171	2171	82.5
2202	2202	96.5
2276	2276	84.25
2278	2278	85
2317	2317	53.5
265	265	47.25
350	350	51.5
351	351	65.33333333
403	403	54.25
410	410	65.25
424	424	68.25
428	428	59
430	430	55
4779	4779	50.25
4807	4807	87.5
4826	4826	51
4884	4884	49.5
4900	4900	50.25
4931	4931	48
4958	4958	100.25
5023	5023	43.75
5104	5104	40.75
5151	5151	73.66666667
5165	5165	81.75
5210	5210	78
5236	5236	43.5
5253	5253	38
5276	5276	49.75
5349	5349	97.33333333
5353	5353	62.5
5486	5486	37.5
5506	5506	132
5535	5535	70.75
5577	5577	51
5644	5644	46.25
5720	5720	63.33333333
5726	5726	48
5741	5741	88.5
5748	5748	41.75
5757	5757	66.66666667
5768	5768	85
5772	5772	49
5778	5778	42.5
5779	5779	67
5784	5784	69.25
5800	5800	39
5811	5811	46
5818	5818	40.33333333
5822	5822	111
5829	5829	53.66666667
5830	5830	75.33333333
5831	5831	93
5832	5832	87.33333333
5835	5835	43.5
5837	5837	55.25
5865	5865	101
5874	5874	69.25
5890	5890	55.25
5893	5893	64.25
5907	5907	48.5
5921	5921	55.75
5950	5950	65.5
5964	5964	56.5
5984	5984	41.75
5993	5993	64.75
6008	6008	43
6009	6009	113.5
6011	6011	112.5
6012	6012	125
6013	6013	93
6016	6016	83.5
6017	6017	104
6020	6020	87.25
6021	6021	87
6023	6023	89.25
6024	6024	116
6030	6030	129
6034	6034	80.5
6035	6035	73.75
6036	6036	86.33333333
6038	6038	77.25
6039	6039	62
6040	6040	82.5
6041	6041	51.5
6042	6042	43
6043	6043	130.6666667
6046	6046	117
6064	6064	129.5
6069	6069	139
6070	6070	119.3333333
6071	6071	139.5
6073	6073	96.5
6074	6074	85.75
6076	6076	110.5
6085	6085	128
6086	6086	100.75
6088	6088	128
6090	6090	105
6092	6092	89.5
6094	6094	92.66666667
6097	6097	94
6098	6098	105
6099	6099	113.6666667
6100	6100	108.3333333
6102	6102	103.5
6104	6104	109.5
6105	6105	87.66666667
6106	6106	94.75
6107	6107	105.25
6108	6108	52.75
6109	6109	99
6111	6111	93.66666667
6112	6112	76.75
6114	6114	92
6115	6115	74.75
6118	6118	99.25
6122	6122	90
6124	6124	106
6125	6125	100
6126	6126	89
6127	6127	132.6666667
6128	6128	113
6129	6129	131
6131	6131	137
6132	6132	102.5
6133	6133	91.75
6134	6134	100.3333333
6136	6136	84.5
6137	6137	87.75
6138	6138	90.75
6140	6140	103.25
6142	6142	107.5
6145	6145	111.5
6148	6148	105.6666667
6149	6149	99
6150	6150	101.6666667
6151	6151	103.3333333
6153	6153	116
6169	6169	113.5
6171	6171	108
6172	6172	114
6173	6173	101
6174	6174	128
6177	6177	105.5
6180	6180	41.25
6184	6184	103.6666667
6188	6188	53.5
6189	6189	56.66666667
6191	6191	58.5
6192	6192	63
6193	6193	54.5
6194	6194	91.5
6195	6195	59
6197	6197	59
6198	6198	92.5
6201	6201	103
6202	6202	128
6203	6203	119.6666667
6209	6209	107
6210	6210	125
6217	6217	127
6218	6218	137
6220	6220	117.3333333
6221	6221	110
6237	6237	109
6238	6238	124
6240	6240	125.6666667
6241	6241	117.5
6242	6242	86.5
6243	6243	43.75
6244	6244	108.25
6258	6258	126.6666667
6268	6268	128.6666667
6276	6276	143
6284	6284	131.5
6288	6288	98
6296	6296	47
630	630	58.75
6390	6390	61.33333333
6396	6396	70.75
6413	6413	95
6424	6424	53
6434	6434	40
6445	6445	50
6680	6680	92.33333333
6709	6709	49.5
6744	6744	47.25
